K,spherical,diag,tied,full
1,144212.26579857862,126402.24728678155,127313.99504084415,127313.99504084415
2,138662.87895875843,123631.07101152038,127085.03686870837,118870.49180929085
3,133410.36684751816,122387.10883228916,125534.67678050874,115261.50232329003
4,131268.801405243,121626.94265026205,123505.93072886324,113921.2782049239
5,129987.3854168459,120818.91010215756,122234.28465422751,113299.24693201731
6,128806.07803370291,120100.53347235489,121542.81421028316,113289.02191362255
7,127571.71905188556,119947.53970094092,120940.91031836257,112592.1445657824
8,126426.98930671823,119470.04520317249,120439.72035014023,112939.2185465826
